,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
0,2606,2023-07-22 01:03:59.582052+00:00,,t,"U, ascending, intersegmental",8B,74034790889852391,648518346509994042,[ 57776 205160    160]
1,2608,2023-07-22 01:03:59.627869+00:00,,t,"T3R, ascending, intersegmental",8B,74104197628813029,648518346506783522,[ 60358 176482    393]
2,2632,2023-07-22 01:04:00.139828+00:00,,t,"T1L, local",14A,73468131695134022,648518346492416127,[42479 94240  3213]
3,2596,2023-07-22 01:03:59.383975+00:00,,t,"T1R, ascending, intersegmental",8B,73608731409428444,648518346500711093,[46120 92056  2643]
4,2585,2023-07-22 01:03:59.146216+00:00,,t,"T3L, ascending, intersegmental",unknown,72766917148223877,648518346479174095,[ 21992 168888   1313]
5,2601,2023-07-22 01:03:59.485996+00:00,,t,"T3R, ascending, intersegmental",8B,73963460140445498,648518346490188983,[ 55339 176572    371]
6,2605,2023-07-22 01:03:59.563240+00:00,,t,"U, intersegmental",8B,74034516414721034,648518346486865889,[ 57592 197456    961]
7,2623,2023-07-22 01:03:59.941720+00:00,,t,"T1L, local",14A,73045712937761446,648518346487038617,[29984 89520  3034]
8,2589,2023-07-22 01:03:59.230859+00:00,,t,"T3R, ascending, intersegmental",8B,73119928831710830,648518346487004825,[ 32744 204496    800]
9,2595,2023-07-22 01:03:59.363231+00:00,,t,"T3R, ascending, intersegmental",8B,73400785467165587,648518346496982580,[ 39048 185920   1037]
10,2597,2023-07-22 01:03:59.404795+00:00,,t,"T3R, ascending, intersegmental",8B,73752353773201650,648518346484428839,[ 50387 176863     10]
11,2602,2023-07-22 01:03:59.504783+00:00,,t,"T3L, intersegmental",8B,73964010231634429,648518346489002225,[ 55832 193464    967]
12,2580,2023-07-10 00:42:14.217379+00:00,,t,"T1L, local",9A,73116218785405769,648518346490384394,[32136 92584  2394]
13,2581,2023-07-10 00:42:14.218347+00:00,,t,fragment,fragment,73116699889098606,648518346497489476,[ 31471 108287   2564]
14,2582,2023-07-10 00:42:14.219284+00:00,,t,"T1L, intersegmental",9A,73186450023632727,648518346495918155,[33672 88728  2293]
15,2591,2023-07-22 01:03:59.274995+00:00,,t,"T3L, ascending, intersegmental",8B,73189610314091662,648518346504983155,[ 33904 182952    698]
16,2604,2023-07-22 01:03:59.542777+00:00,,t,"T3R, ascending, intersegmental",8B,73963391420860228,648518346502586791,[ 56640 175656    336]
17,2588,2023-07-22 01:03:59.208473+00:00,,t,"T3L, ascending, intersegmental",8B,73048804240496027,648518346499530587,[ 30312 180920    926]
