,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
0,10,2022-06-24 16:41:50.573378+00:00,,t,T1L,hook_ext,72342438215360144,648518346489572037,[  9412 101536   3740]
1,117,2023-05-25 20:20:06.123563+00:00,,t,T1L,club_asc,72342438215363084,648518346499541854,[ 10142 101226   3739]
2,118,2023-05-25 20:20:06.124303+00:00,,t,T1L,club_asc,72342438215363302,648518346492002415,[  9809 101527   3739]
3,119,2023-05-25 20:20:06.125104+00:00,,t,T1L,club_asc,72412806959538313,648518346488912397,[ 10267 101206   3739]
4,26,2022-06-24 16:41:50.587320+00:00,,t,T1L,club,72272069471160704,648518346503767201,[  7989 100372   3740]
5,45,2022-10-12 22:47:02.001143+00:00,,t,T1L,hook_flx,72342438215328533,648518346476657526,[  8717 101723   3740]
6,42,2022-10-12 22:47:01.956147+00:00,,t,T1L,hook_ext,72342438215403599,648518346486753761,[  9322 101423   3740]
7,12,2022-06-24 16:41:50.575407+00:00,,t,T1L,hook_flx,72342438215375566,648518346507233352,[  9781 100378   3740]
8,84,2022-11-18 23:19:58.162050+00:00,,t,T1L,hook_ext,72342438215391655,648518346481856445,[  9417 101397   3740]
9,116,2023-05-25 20:20:06.122784+00:00,,t,T1L,club_asc,72342438215374271,648518346503137403,[ 10103 101450   3739]
10,120,2023-05-25 20:20:06.125857+00:00,,t,T1L,club_asc,72412806959533902,648518346509233018,[ 10250 101295   3739]
11,122,2023-07-10 00:11:37.891439+00:00,,t,T2R,club_asc,73468543609911383,648518346492356223,[ 41223 107527   2565]
12,124,2023-07-10 00:11:37.893438+00:00,,t,T3L,club_asc,73116768608239407,648518346502576454,[ 32416 109724   2467]
13,125,2023-07-10 00:11:37.894408+00:00,,t,T3L,club_asc,73468612329323185,648518346478788180,[ 41154 109105   2556]
14,127,2023-07-10 00:11:37.896510+00:00,,t,T3R,club_asc,73398174932541602,648518346494666373,[ 40844 107432   2581]
15,128,2023-07-10 00:11:37.897443+00:00,,t,T2L,club_asc,73187068632983165,648518346492357759,[ 32860 106800   2498]
16,129,2023-09-22 17:38:05.499636+00:00,,t,T1R,club_asc,73468543676841556,648518346479473874,[ 41497 108178   2623]
17,123,2023-07-10 00:11:37.892434+00:00,,t,T2R,club_asc,73468543610031488,648518346478167277,[ 40960 107893   2565]
18,121,2023-07-10 00:11:37.890350+00:00,,t,T2R,club_asc,73468543609885162,648518346483806357,[ 41101 107652   2565]
19,2,2022-06-24 16:41:50.566404+00:00,,t,T1L,hook_flx,72342369495812353,648518346480125925,[  9767 100331   3740]
