,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
0,12347226,2022-11-17 14:28:59.843347+00:00,,t,23,72553681551362367,648518346508752447,72553681551364124,648518346496052070,[ 15711 104803   3127],[ 15725 104811   3129]
1,42127679,2022-11-17 14:28:59.843347+00:00,,t,26,72342781074751920,648518346480125925,72342781074771140,648518346489566297,[  9325 110663   2408],[  9323 110625   2409]
4,42127599,2022-11-17 14:28:59.843347+00:00,,t,23,72342781074735265,648518346480125925,72342781074737829,648518346502617767,[  9275 110693   2403],[  9251 110663   2404]
16,42127880,2022-11-17 14:28:59.843347+00:00,,t,19,72342781074677182,648518346480666625,72342781074669821,648518346489566297,[  9535 110905   2377],[  9537 110885   2376]
18,42127884,2022-11-17 14:28:59.843347+00:00,,t,18,72342781074853464,648518346480125925,72342781074866617,648518346465266805,[  9509 110697   2438],[  9543 110695   2439]
22,20833134,2022-11-17 14:28:59.843347+00:00,,t,70,72553337752847740,648518346488815453,72553337752837171,648518346482998502,[16371 94475  2800],[16373 94441  2800]
23,36270254,2022-11-17 14:28:59.843347+00:00,,t,26,73187137486842154,648518346498554608,73187137486851812,648518346487757122,[ 32921 109001   2809],[ 32911 109035   2810]
24,37545375,2022-11-17 14:28:59.843347+00:00,,t,34,72976031388434762,648518346494038560,72976031388444226,648518346487757122,[ 28541 109217   3064],[ 28563 109245   3064]
25,36270257,2022-11-17 14:28:59.843347+00:00,,t,19,73187137486900146,648518346498554608,73187137486900201,648518346487757122,[ 32949 109309   2818],[ 32913 109305   2818]
27,32679291,2022-11-17 14:28:59.843347+00:00,,t,35,73046331413035267,648518346498554608,73046331413025608,648518346487757122,[ 30325 106777   2992],[ 30297 106753   2992]
28,32679298,2022-11-17 14:28:59.843347+00:00,,t,21,73046331412981631,648518346499385438,73046331412995907,648518346487757122,[ 30311 106647   2979],[ 30299 106693   2981]
29,37545341,2022-11-17 14:28:59.843347+00:00,,t,57,72976031388495382,648518346494038560,72976031388450773,648518346487757122,[ 28467 108769   3067],[ 28507 108769   3067]
31,42168006,2022-11-17 14:28:59.843347+00:00,,t,19,72624050295556513,648518346474593218,72624050295561555,648518346472722185,[ 17945 105819   3119],[ 17931 105789   3119]
32,37545420,2022-11-17 14:28:59.843347+00:00,,t,34,72976031388415550,648518346499385438,72976031388426883,648518346487757122,[ 28609 108617   3054],[ 28629 108585   3055]
37,42168049,2022-11-17 14:28:59.843347+00:00,,t,28,72624050295713070,648518346496729980,72624050295705442,648518346494220283,[ 17955 105819   3179],[ 17971 105835   3181]
41,42168082,2022-11-17 14:28:59.843347+00:00,,t,30,72624050295687434,648518346486753761,72624050295697480,648518346482964966,[ 18021 105637   3172],[ 17997 105607   3173]
46,42168099,2022-11-17 14:28:59.843347+00:00,,t,22,72624050295611105,648518346500641203,72624050295587635,648518346500132614,[ 18015 105557   3134],[ 18021 105589   3134]
48,42168039,2022-11-17 14:28:59.843347+00:00,,t,34,72624050295683070,648518346494264434,72624050295718410,648518346498238290,[ 17953 106377   3177],[ 17961 106407   3178]
49,42167865,2022-11-17 14:28:59.843347+00:00,,t,27,72624050295712757,648518346477034696,72624050295727664,648518346499996812,[ 17697 105461   3177],[ 17713 105495   3179]
71,42167637,2022-11-17 14:28:59.843347+00:00,,t,23,72624050295765273,648518346494264434,72624050295775028,648518346494996387,[ 17441 106353   3198],[ 17437 106351   3201]
72,42167705,2022-11-17 14:28:59.843347+00:00,,t,16,72624050295751339,648518346494264434,72624050295754112,648518346494996387,[ 17495 106411   3194],[ 17531 106417   3195]
76,42167661,2022-11-17 14:28:59.843347+00:00,,t,13,72624050295761717,648518346517348645,72624050295765161,648518346475413089,[ 17475 106213   3197],[ 17465 106245   3198]
79,42167704,2022-11-17 14:28:59.843347+00:00,,t,29,72624050295763838,648518346481856445,72624050295742510,648518346499996812,[ 17561 105507   3195],[ 17531 105491   3195]
80,42167645,2022-11-17 14:28:59.843347+00:00,,t,26,72624050295765273,648518346494264434,72624050295774934,648518346498002535,[ 17443 106355   3197],[ 17451 106341   3200]
87,42167655,2022-11-17 14:28:59.843347+00:00,,t,24,72624050295504549,648518346484687181,72624050295497112,648518346472722185,[ 17443 105661   3094],[ 17463 105635   3094]
88,42167717,2022-11-17 14:28:59.843347+00:00,,t,24,72624050295549191,648518346484687181,72624050295532265,648518346491041827,[ 17527 105767   3109],[ 17547 105755   3109]
89,42167624,2022-11-17 14:28:59.843347+00:00,,t,23,72624050295507238,648518346484687181,72624050295493995,648518346500132614,[ 17413 105677   3094],[ 17419 105657   3093]
90,42168018,2022-11-17 14:28:59.843347+00:00,,t,43,72624050295677126,648518346486753761,72624050295682582,648518346482964966,[ 17965 105595   3166],[ 17943 105569   3167]
92,42167732,2022-11-17 14:28:59.843347+00:00,,t,30,72624050295549191,648518346484687181,72624050295534618,648518346531401754,[ 17553 105767   3111],[ 17557 105789   3110]
99,42168027,2022-11-17 14:28:59.843347+00:00,,t,22,72624050295713061,648518346496729980,72624050295715482,648518346494220283,[ 17931 105763   3180],[ 17955 105743   3181]
112,42167755,2022-11-17 14:28:59.843347+00:00,,t,38,72624050295549191,648518346484687181,72624050295539267,648518346491793832,[ 17567 105757   3111],[ 17589 105747   3111]
114,42168040,2022-11-17 14:28:59.843347+00:00,,t,23,72624050295522170,648518346499722309,72624050295509567,648518346491041827,[ 17947 105639   3100],[ 17963 105667   3099]
116,42167789,2022-11-17 14:28:59.843347+00:00,,t,34,72624050295747754,648518346501288024,72624050295745129,648518346517457476,[ 17599 105599   3198],[ 17625 105605   3199]
118,42167793,2022-11-17 14:28:59.843347+00:00,,t,29,72624050295740160,648518346501288024,72624050295747764,648518346503022971,[ 17615 105613   3196],[ 17627 105647   3197]
121,42167794,2022-11-17 14:28:59.843347+00:00,,t,33,72624050295730292,648518346496729980,72624050295720390,648518346517457476,[ 17647 105677   3181],[ 17629 105647   3181]
132,42167849,2022-11-17 14:28:59.843347+00:00,,t,22,72624050295727758,648518346496729980,72624050295710285,648518346494220283,[ 17689 105683   3180],[ 17695 105675   3179]
140,42167840,2022-11-17 14:28:59.843347+00:00,,t,67,72624050295740118,648518346501288024,72624050295732664,648518346503022971,[ 17695 105583   3188],[ 17703 105555   3189]
145,42167756,2022-11-17 14:28:59.843347+00:00,,t,43,72624050295740160,648518346501288024,72624050295760978,648518346494588181,[ 17577 105587   3199],[ 17597 105581   3200]
146,42167830,2022-11-17 14:28:59.843347+00:00,,t,19,72624050295747754,648518346501288024,72624050295747729,648518346494588181,[ 17671 105589   3190],[ 17669 105559   3191]
149,42167807,2022-11-17 14:28:59.843347+00:00,,t,34,72624050295745534,648518346517348645,72624050295761705,648518346491839249,[ 17637 106155   3193],[ 17643 106155   3196]
151,42167867,2022-11-17 14:28:59.843347+00:00,,t,24,72624050295740118,648518346501288024,72624050295717817,648518346494033294,[ 17705 105587   3186],[ 17713 105561   3185]
152,42167766,2022-11-17 14:28:59.843347+00:00,,t,26,72624050295618711,648518346474593218,72624050295608862,648518346500132614,[ 17611 106031   3137],[ 17605 106057   3136]
157,42167786,2022-11-17 14:28:59.843347+00:00,,t,22,72624050295579975,648518346489569900,72624050295541580,648518346472722185,[ 17593 105761   3113],[ 17623 105769   3113]
163,42168127,2022-11-17 14:28:59.843347+00:00,,t,30,72624050295732654,648518346501288024,72624050295742535,648518346482964966,[ 18089 105521   3188],[ 18067 105503   3189]
178,42167901,2022-11-17 14:28:59.843347+00:00,,t,13,72624050295740118,648518346501288024,72624050295742549,648518346482964966,[ 17717 105579   3189],[ 17751 105569   3191]
