,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
0,5888018,2022-11-17 14:28:59.843347+00:00,,t,23,72764787850977007,648518346487038617,72764787850963659,648518346498554608,[ 21351 106033   3259],[ 21351 105989   3259]
1,42127631,2022-11-17 14:28:59.843347+00:00,,t,35,72342781074592131,648518346496066411,72342781074592175,648518346481857725,[  9299 110911   2341],[  9273 110929   2342]
2,42127596,2022-11-17 14:28:59.843347+00:00,,t,25,72342781074788883,648518346501581144,72342781074841808,648518346480125925,[  9229 110671   2434],[  9249 110657   2436]
3,42127645,2022-11-17 14:28:59.843347+00:00,,t,12,72342781074791817,648518346501581144,72342781074885461,648518346476657526,[  9269 110913   2436],[  9289 110945   2437]
4,42127583,2022-11-17 14:28:59.843347+00:00,,t,16,72342781074776380,648518346501581144,72342781074781231,648518346481857725,[  9223 110721   2425],[  9237 110685   2426]
5,42127600,2022-11-17 14:28:59.843347+00:00,,t,32,72342781074794548,648518346501581144,72342781074781231,648518346481857725,[  9223 110699   2429],[  9249 110677   2429]
6,42127610,2022-11-17 14:28:59.843347+00:00,,t,32,72342781074832429,648518346501581144,72342781074824776,648518346481857725,[  9227 110685   2433],[  9259 110681   2433]
7,42127614,2022-11-17 14:28:59.843347+00:00,,t,43,72342781074905111,648518346501581144,72342781074808067,648518346514448583,[  9237 110733   2426],[  9263 110709   2426]
9,42127662,2022-11-17 14:28:59.843347+00:00,,t,32,72342781074868516,648518346501581144,72342781074808571,648518346509569667,[  9281 110911   2431],[  9309 110929   2431]
10,42127693,2022-11-17 14:28:59.843347+00:00,,t,17,72342781074429010,648518346496066411,72342781074344217,648518346480666625,[  9383 110625   2315],[  9349 110629   2314]
11,44172031,2022-11-17 14:28:59.843347+00:00,,t,33,73187000114644387,648518346487038617,73187000114715951,648518346487705300,[ 34349 106257   2833],[ 34369 106269   2836]
16,42183280,2022-11-17 14:28:59.843347+00:00,,t,34,73469368579019769,648518346473084516,73469368579019781,648518346499960531,[ 41919 131653   3165],[ 41903 131689   3166]
19,42183293,2022-11-17 14:28:59.843347+00:00,,t,41,73469368579051419,648518346473084516,73469368579046191,648518346488045079,[ 41927 131433   3174],[ 41927 131407   3175]
20,42183300,2022-11-17 14:28:59.843347+00:00,,t,47,73469368579043935,648518346473084516,73469368579036882,648518346488045079,[ 41939 131661   3167],[ 41937 131699   3167]
21,42203976,2022-11-17 14:28:59.843347+00:00,,t,42,73187068633192046,648518346474404290,73187068633192259,648518346477963245,[ 33009 107379   2564],[ 33035 107391   2564]
23,42127574,2022-11-17 14:28:59.843347+00:00,,t,21,72342781074723555,648518346480125925,72342781074735329,648518346507233352,[  9267 110723   2399],[  9231 110723   2400]
24,36920897,2022-11-17 14:28:59.843347+00:00,,t,20,72342712422066180,648518346480125925,72342712422172063,648518346507233352,[  9315 110501   2449],[  9285 110485   2450]
25,19047863,2022-11-17 14:28:59.843347+00:00,,t,12,72975962534780527,648518346501581144,72975962534780596,648518346480125925,[ 26979 106953   2801],[ 27025 106945   2801]
30,42731028,2022-11-17 14:28:59.843347+00:00,,t,48,72342712422285292,648518346518548566,72342712422282795,648518346480125925,[  8909 109577   2490],[  8927 109607   2490]
31,38445801,2022-11-17 14:28:59.843347+00:00,,t,20,72483312807210860,648518346501581144,72483312807213641,648518346480125925,[ 14121 105099   3154],[ 14133 105137   3154]
34,23008779,2022-11-17 14:28:59.843347+00:00,,t,16,72624050362649507,648518346480125925,72624050362668341,648518346507233352,[ 16647 105079   3240],[ 16639 105073   3243]
36,41116647,2022-11-17 14:28:59.843347+00:00,,t,17,72342712288225538,648518346501581144,72342712288217319,648518346480125925,[  9519 110301   2296],[  9503 110325   2295]
37,41156279,2022-11-17 14:28:59.843347+00:00,,t,13,72413081367871330,648518346501581144,72413081367864371,648518346480125925,[ 11805 110115   2909],[ 11767 110097   2909]
38,44288090,2022-11-17 14:28:59.843347+00:00,,t,23,72342781141699433,648518346501581144,72342781141709698,648518346480125925,[  9413 110637   2473],[  9441 110635   2474]
