,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
0,186,2023-08-28 08:01:32.806589+00:00,,t,"T1B, intersegmental",0A/0B,73117113011096416,648518346499902531,[ 30808 119032   4048]
1,187,2023-08-28 08:01:32.851682+00:00,,t,"T2B, intersegmental",0A/0B,73187894139122850,648518346494169591,[ 33048 131368   4140]
2,188,2023-08-28 08:01:32.871069+00:00,,t,"T2B, intersegmental",0A/0B,73258949407039345,648518346496171788,[ 36264 153296   2902]
3,189,2023-08-28 08:01:32.888985+00:00,,t,"T3B, intersegmental",0A/0B,73541591742370834,648518346471899547,[ 44248 188040   1254]
4,190,2023-08-28 08:01:32.908630+00:00,,t,"T1B, intersegmental",0A/0B,73257918950442344,648518346487757122,[ 35280 121328   3542]
5,191,2023-08-28 08:01:32.927388+00:00,,t,"T2B, intersegmental",0A/0B,73329317748419658,648518346492140076,[ 37832 151600   2072]
6,192,2023-08-28 08:01:32.945968+00:00,,t,"T1B, intersegmental",0A/0B,73187412834490290,648518346499958156,[ 32992 117592   3698]
7,193,2023-08-28 08:01:32.964796+00:00,,t,"T3B, intersegmental",0A/0B,73612166846335456,648518346473084516,[ 46064 194200   1581]
8,194,2023-08-28 08:01:32.983549+00:00,,t,"T3R, ascending, intersegmental",8B,73400785467165587,648518346496982580,[ 39048 185920   1037]
9,195,2023-08-28 08:01:33.003071+00:00,,t,"T3L, intersegmental",8B,73189816405136801,648518346485716499,[ 34640 189608    522]
10,196,2023-08-28 08:01:33.020820+00:00,,t,"T3L, ascending, intersegmental",8B,72766917148223877,648518346479174095,[ 21992 168888   1313]
11,197,2023-08-28 08:01:33.039937+00:00,,t,"T3R, ascending, intersegmental",8B,73611754462403053,648518346504949107,[ 46744 180224   1513]
12,198,2023-08-28 08:01:33.058664+00:00,,t,"T3R, intersegmental",8B,74174703744727317,648518346486842265,[ 62896 181464    217]
13,199,2023-08-28 08:01:33.077132+00:00,,t,"T3L, ascending, intersegmental",8B,73964010164568452,648518346490873773,[ 56248 193720    859]
14,200,2023-08-28 08:01:33.098024+00:00,,t,"T3L, ascending, intersegmental",8B,73893228969444254,648518346486977761,[ 53768 181424    636]
15,201,2023-08-28 08:01:33.119156+00:00,,t,"T3L, ascending, intersegmental",8B,73822859956403654,648518346489674348,[ 53193 181401     32]
16,202,2023-08-28 08:01:33.138042+00:00,,t,"T2R, local",13A,73680475348395663,648518346489805273,[ 48600 131296   4147]
17,203,2023-08-28 08:01:33.156804+00:00,,t,"T1L, local",13B,73045712937761446,648518346487038617,[29984 89520  3034]
18,204,2023-08-28 08:01:33.176982+00:00,,t,"T1L, intersegmental",13B,73257369261699105,648518346497880310,[ 36176 104592   3625]
19,205,2023-08-28 08:01:33.197559+00:00,,t,"T1L, local",13B,73116356694163134,648518346500717528,[31784 97224  3286]
20,206,2023-08-28 08:01:33.218525+00:00,,t,"T3L, intersegmental",9A,73048941612215744,648518346487768020,[ 29408 185424    890]
21,207,2023-08-28 08:01:33.239028+00:00,,t,"T3L, ascending, intersegmental",18B,73048048057796882,648518346491888552,[ 30176 159032    457]
22,208,2023-08-28 08:01:33.257891+00:00,,t,"T3R, ascending, intersegmental",18B,73540423108634341,648518346473080420,[ 43840 152624    431]
23,209,2023-08-28 08:01:33.276743+00:00,,t,"T3L, intersegmental",18B,73118416869089959,648518346489566297,[ 30952 158880    549]
24,210,2023-08-28 08:01:33.295378+00:00,,t,"T3R, intersegmental",18B,73751598060609745,648518346493159666,[ 49224 155080    437]
25,211,2023-08-28 08:01:33.314890+00:00,,t,"T2L, ascending, intersegmental",18B,72483930141805180,648518346484222493,[ 13248 124304    968]
26,212,2023-08-28 08:01:33.334823+00:00,,t,"T2L, ascending, intersegmental",18B,72413698769325010,648518346466005552,[ 10704 127976    807]
27,213,2023-08-28 08:01:33.355030+00:00,,t,"T3R, ascending, intersegmental",18B,74172780337737386,648518346478231509,[ 62128 124888   1664]
28,214,2023-08-28 08:01:33.375188+00:00,,t,"T1L, local",19A,72413011977264323,648518346472653065,[ 11440 106840   1601]
29,215,2023-08-28 08:01:33.396518+00:00,,t,"T1L, local",19A,72413149483328810,648518346502916595,[ 10920 111200   1709]
30,216,2023-08-28 08:01:33.418091+00:00,,t,"T1L, local",19A,72342780806266313,648518346531401754,[  8280 112088   1846]
